id,domain,concept,prerequisites,enables,first_mission,minimum_viable_understanding,defer_until_later
K145,Mathematics,Adam,momentum,,M20,"Can explain Adam in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K146,Mathematics,information,probability,entropy,M11,"Can explain information in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K147,Mathematics,entropy,information | distribution,cross-entropy,M11,"Can explain entropy in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K148,Mathematics,cross-entropy,entropy,KL divergence | pretraining,M31,"Can explain cross-entropy in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K149,Mathematics,KL divergence,cross-entropy,,,"Can explain KL divergence in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K150,Deep Learning,neuron,linear regression,weighted sum | bias term | neural layer,M22,"Can explain neuron in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K151,Deep Learning,weighted sum,neuron | dot product,activation function,M22,"Can explain weighted sum in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K152,Deep Learning,bias term,neuron,,,"Can explain bias term in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K153,Deep Learning,activation function,weighted sum,ReLU,M03,"Can explain activation function in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K154,Deep Learning,ReLU,activation function,,M22,"Can explain ReLU in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K155,Deep Learning,neural layer,neuron,neural network | normalization | residual connection | logits,M21,"Can explain neural layer in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K156,Deep Learning,neural network,neural layer,forward pass | weight initialization | nn.Module | feed-forward network,M21,"Can explain neural network in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K157,Deep Learning,forward pass,neural network,,M23,"Can explain forward pass in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K158,Deep Learning,batch,DataFrame,DataLoader,M21,"Can explain batch in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K159,Deep Learning,epoch,training,,M21,"Can explain epoch in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K160,Deep Learning,computational graph,function,backpropagation,M24,"Can explain computational graph in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K161,Deep Learning,backpropagation,chain rule | computational graph,automatic differentiation,M24,"Can explain backpropagation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K162,Deep Learning,automatic differentiation,backpropagation,,,"Can explain automatic differentiation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K163,Deep Learning,weight initialization,neural network,,M22,"Can explain weight initialization in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K164,Deep Learning,dropout,regularization,,M26,"Can explain dropout in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K165,Deep Learning,weight decay,regularization,,M22,"Can explain weight decay in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K166,Deep Learning,normalization,neural layer,layer normalization,M26,"Can explain normalization in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K167,Deep Learning,PyTorch tensor,tensor,,M25,"Can explain PyTorch tensor in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K168,Deep Learning,Dataset,DataFrame,DataLoader,M25,"Can explain Dataset in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K169,Deep Learning,DataLoader,Dataset | batch,,M25,"Can explain DataLoader in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K170,Deep Learning,nn.Module,classes | neural network,,M25,"Can explain nn.Module in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K171,Deep Learning,optimizer,gradient descent,,M25,"Can explain optimizer in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K172,Foundation Models,tokenization,,vocabulary,M27,"Can explain tokenization in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K173,Foundation Models,vocabulary,tokenization,subword token | token ID,M27,"Can explain vocabulary in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K174,Foundation Models,subword token,vocabulary,BPE,M27,"Can explain subword token in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K175,Foundation Models,BPE,subword token,,M27,"Can explain BPE in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K176,Foundation Models,token ID,vocabulary,context window | positional information | next-token prediction,M27,"Can explain token ID in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K177,Foundation Models,context window,token ID,,M27,"Can explain context window in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K178,Foundation Models,embedding,vector,semantic similarity | representation learning | query vector | key vector | value vector | embedding pipeline | bi-encoder,M15,"Can explain embedding in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K179,Foundation Models,semantic similarity,embedding | cosine similarity,,M15,"Can explain semantic similarity in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K180,Foundation Models,representation learning,embedding,,M01,"Can explain representation learning in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K181,Foundation Models,query vector,embedding,attention score,M05,"Can explain query vector in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K182,Foundation Models,key vector,embedding,attention score,M05,"Can explain key vector in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K183,Foundation Models,value vector,embedding,attention,M04,"Can explain value vector in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K184,Foundation Models,attention score,query vector | key vector | dot product,attention weight,M29,"Can explain attention score in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K185,Foundation Models,softmax,probability,attention weight | temperature,M29,"Can explain softmax in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K186,Foundation Models,attention weight,attention score | softmax,attention,M22,"Can explain attention weight in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K187,Foundation Models,attention,attention weight | value vector,scaled dot-product attention | causal mask,M29,"Can explain attention in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K188,Foundation Models,scaled dot-product attention,attention | matrix multiplication,multi-head attention,M29,"Can explain scaled dot-product attention in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K189,Foundation Models,multi-head attention,scaled dot-product attention,transformer block,M29,"Can explain multi-head attention in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K190,Foundation Models,feed-forward network,neural network,transformer block,M21,"Can explain feed-forward network in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K191,Foundation Models,residual connection,neural layer,transformer block,M08,"Can explain residual connection in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K192,Foundation Models,layer normalization,normalization,transformer block,M21,"Can explain layer normalization in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K193,Foundation Models,positional information,token ID,,M11,"Can explain positional information in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K194,Foundation Models,causal mask,attention,,,"Can explain causal mask in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K195,Foundation Models,transformer block,multi-head attention | feed-forward network | residual connection | layer normalization,transformer,M30,"Can explain transformer block in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K196,Foundation Models,transformer,transformer block,next-token prediction | cross-encoder | RAG | tool calling | LLM judge,M30,"Can explain transformer in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K197,Foundation Models,next-token prediction,transformer | token ID,pretraining,M02,"Can explain next-token prediction in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K198,Foundation Models,pretraining,next-token prediction | cross-entropy,instruction tuning,M31,"Can explain pretraining in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K199,Foundation Models,logits,neural layer,temperature | top-k sampling | top-p sampling,M32,"Can explain logits in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K200,Foundation Models,temperature,logits | softmax,,M32,"Can explain temperature in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K201,Foundation Models,top-k sampling,logits,,M32,"Can explain top-k sampling in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K202,Foundation Models,top-p sampling,logits,,M32,"Can explain top-p sampling in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K203,Foundation Models,instruction tuning,pretraining,,M32,"Can explain instruction tuning in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K204,Foundation Models,fine-tuning,training,LoRA,M32,"Can explain fine-tuning in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K205,Foundation Models,LoRA,fine-tuning,QLoRA,M32,"Can explain LoRA in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K206,Foundation Models,QLoRA,LoRA,,M32,"Can explain QLoRA in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K207,AI Systems,document ingestion,files,chunking | BM25,,"Can explain document ingestion in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K208,AI Systems,chunking,document ingestion,embedding pipeline,M33,"Can explain chunking in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K209,AI Systems,embedding pipeline,chunking | embedding,vector index,M07,"Can explain embedding pipeline in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K210,AI Systems,vector index,embedding pipeline,semantic search | metadata filter | vector database,M05,"Can explain vector index in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K211,AI Systems,semantic search,vector index | cosine similarity,top-k retrieval | hybrid retrieval,M28,"Can explain semantic search in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K212,AI Systems,top-k retrieval,semantic search,reranking | retrieval recall | RAG,M32,"Can explain top-k retrieval in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K213,AI Systems,metadata filter,vector index,,M04,"Can explain metadata filter in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K214,AI Systems,reranking,top-k retrieval,ranking precision,M35,"Can explain reranking in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K215,AI Systems,bi-encoder,embedding,,M35,"Can explain bi-encoder in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K216,AI Systems,cross-encoder,transformer,,M35,"Can explain cross-encoder in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K217,AI Systems,retrieval recall,top-k retrieval,,M10,"Can explain retrieval recall in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K218,AI Systems,ranking precision,reranking,,M10,"Can explain ranking precision in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K219,AI Systems,RAG,top-k retrieval | transformer,context construction | answerability,M01,"Can explain RAG in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K220,AI Systems,context construction,RAG,grounding,M27,"Can explain context construction in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K221,AI Systems,grounding,context construction,,M34,"Can explain grounding in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K222,AI Systems,answerability,RAG,,,"Can explain answerability in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K223,AI Systems,vector database,vector index,,M05,"Can explain vector database in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K224,AI Systems,nearest neighbor search,cosine similarity,approximate nearest neighbor,M13,"Can explain nearest neighbor search in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K225,AI Systems,approximate nearest neighbor,nearest neighbor search,HNSW,M13,"Can explain approximate nearest neighbor in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K226,AI Systems,HNSW,approximate nearest neighbor,,M36,"Can explain HNSW in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K227,AI Systems,BM25,document ingestion,hybrid retrieval,M36,"Can explain BM25 in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K228,AI Systems,hybrid retrieval,BM25 | semantic search,,M34,"Can explain hybrid retrieval in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K229,AI Systems,tool schema,JSON | APIs,tool calling,M37,"Can explain tool schema in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K230,AI Systems,tool calling,tool schema | transformer,tool validation | agent,M37,"Can explain tool calling in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K231,AI Systems,tool validation,tool calling,,M37,"Can explain tool validation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K232,AI Systems,agent state,JSON,memory,M01,"Can explain agent state in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K233,AI Systems,workflow,functions as interfaces,agent | stop condition | routing,M38,"Can explain workflow in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K234,AI Systems,agent,tool calling | workflow,planning,M01,"Can explain agent in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K235,AI Systems,planning,agent,,M38,"Can explain planning in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K236,AI Systems,stop condition,workflow,,M03,"Can explain stop condition in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K237,AI Systems,memory,agent state,,M39,"Can explain memory in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K238,AI Systems,routing,workflow,fallback,M39,"Can explain routing in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K239,AI Systems,fallback,exceptions | routing,graceful degradation,M39,"Can explain fallback in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K240,AI Systems,evaluation set,testing,rubric | regression evaluation,M02,"Can explain evaluation set in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K241,AI Systems,rubric,evaluation set,LLM judge | human evaluation,M40,"Can explain rubric in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K242,AI Systems,LLM judge,rubric | transformer,,M40,"Can explain LLM judge in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K243,AI Systems,human evaluation,rubric,,M02,"Can explain human evaluation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K244,AI Systems,tracing,testing,observability,M40,"Can explain tracing in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K245,AI Systems,regression evaluation,evaluation set,,M02,"Can explain regression evaluation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K246,AI Systems,observability,tracing,,M40,"Can explain observability in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K247,AI Systems,latency,APIs,,M41,"Can explain latency in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K248,AI Systems,cost,APIs,,M41,"Can explain cost in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K249,AI Systems,privacy,data pipeline,,M41,"Can explain privacy in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K250,AI Systems,system boundary,APIs,architecture diagram,,"Can explain system boundary in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K251,AI Systems,graceful degradation,fallback,,M39,"Can explain graceful degradation in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K252,AI Systems,architecture diagram,system boundary,,M41,"Can explain architecture diagram in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
